ANNEE;NOM_MAT;TYPE;STATUT;FI_ET;FI_EJ;COM;NOMCOM;CPO;ADRESSE;LIT_OBS;SALTRAV;ACCTOT
2022;CHI SITE DE PERTUIS;1;PUBLIC;840000491;130041916;84089;PERTUIS;84123;58 R DE CROZE;14;3;780
2016;CH D'AVIGNON HENRI DUFFAUT;2b;PUBLIC;840001861;840006597;84007;AVIGNON;84902;305 R RAOUL FOLLEREAU;56;6;3013
2020;CH D'AVIGNON HENRI DUFFAUT;2b;PUBLIC;840001861;840006597;84007;AVIGNON;84902;305 R RAOUL FOLLEREAU;56;6;2920
2017;CH LVO :SITE DE CHALLANS;1;PUBLIC;850000175;850009010;85047;CHALLANS;85302;BD GUERIN;16;3;720
2023;CH LVO - SITE DE CHALLANS;1;PUBLIC;850000175;850009010;85047;CHALLANS;85302;BD GUERIN;16;3;570
2015;CENTRE HOSPITALIER COTE DE LUMIÈRE;1;PUBLIC;850000241;850000084;85166;OLONNE-SUR-MER;85340;4 R JACQUES MONOD;15;3;621
2014;CH FONTENAY SITE POLE SANTE SUD VENDEE;1;PUBLIC;850009630;850000035;85092;FONTENAY-LE-COMTE;85200;R DR FLEURANCE;20;2;836
2020;CH FONTENAY SITE POLE SANTE SUD VENDEE;1;PUBLIC;850009630;850000035;85092;FONTENAY LE COMTE;85201;;19;2;677
2021;CH FONTENAY SITE POLE SANTE SUD VENDEE;1;PUBLIC;850009630;850000035;85092;FONTENAY LE COMTE;85201;R DU DR FLEURANCE;19;2;672
2023;CHU LA MILETRIE;3;PUBLIC;860000223;860014208;86194;POITIERS;86021;2 R DE LA MILETRIE;53;5;2290
2013;CLINIQUE DU FIEF DE GRIMOIRE;2a;PRIVE LUCRATIF;860780568;860000140;86194;POITIERS;86000;38 R DU FIEF DE GRIMOIRE;57;4;1288
2014;CLINIQUE DU FIEF DE GRIMOIRE;2a;PRIVE LUCRATIF;860780568;860000140;86194;POITIERS;86000;38 R DU FIEF DE GRIMOIRE;57;4;1336
2018;CLINIQUE DU FIEF DE GRIMOIRE;2a;PRIVE LUCRATIF;860780568;860000140;86194;POITIERS;86000;38 R DU FIEF DE GRIMOIRE;57;4;993
2021;CLINIQUE DU FIEF DE GRIMOIRE;2a;PRIVE LUCRATIF;860780568;860000140;86194;POITIERS;86000;38 R DU FIEF DE GRIMOIRE;57;4;924
2018;CENTRE HOSPITALIER SAINT JUNIEN;1;PUBLIC;870000098;870000023;87154;SAINT-JUNIEN;87205;12 R CHATEAUBRIAND;14;3;319
2019;CENTRE HOSPITALIER SAINT JUNIEN;1;PUBLIC;870000098;870000023;87154;SAINT-JUNIEN;87205;12 R CHATEAUBRIAND;14;3;353
2018;CLINIQUE EMAILLEURS-COLOMBIER LIMOGES;1;PRIVE LUCRATIF;870000411;870017415;87085;LIMOGES;87038;1 R VICTOR SCHOELCHER;28;3;1055
2018;CHI E.DURKHEIM - PLATEAU DE LA JUSTICE;2b;PUBLIC;880000021;880007059;88160;EPINAL;88021;3 AV ROBERT SCHUMAN;13;3;535
2016;CENTRE HOSPITALIER DE SAINT-DIE;1;PUBLIC;880000047;880780077;88413;SAINT-DIE-DES-VOSGES;88187;26 RUE DU NOUVEL HOPITAL;14;2;581
2017;CHI L'OUEST VOSGIEN SITE NEUFCHATEAU;1;PUBLIC;880000054;880007299;88321;NEUFCHATEAU;88307;1280 AV DE LA DIVISION LECLERC;10;2;377
2018;CHI L'OUEST VOSGIEN SITE NEUFCHATEAU;1;PUBLIC;880000054;880007299;88321;NEUFCHATEAU;88307;1280 AV DE LA DIVISION LECLERC;10;2;288
2020;CHI L'OUEST VOSGIEN SITE NEUFCHATEAU;1;PUBLIC;880000054;880007299;88321;NEUFCHATEAU;88307;1280 AV DE LA DIVISION LECLERC;10;2;347
2015;CH AUXERRE;2b;PUBLIC;890975527;890000037;89024;AUXERRE;89011;2 BD DE VERDUN;45;5;2109
2020;CH AUXERRE;2b;PUBLIC;890975527;890000037;89024;AUXERRE;89011;2 BD DE VERDUN;32;5;1821
2014;CH BELFORT;2b;PUBLIC;900000167;900000365;90010;BELFORT;90016;14 R DE MULHOUSE;33;5;2035
2019;HNFC SITE TREVENANS;2b;PUBLIC;900003039;900000365;90097;TREVENANS;90400;100 RTE DE MOVAL;58;8;3115
2023;HNFC SITE TREVENANS;2b;PUBLIC;900003039;900000365;90097;TREVENANS;90400;100 RTE DE MOVAL;44;8;2657
2014;CENTRE HOSPITALIER D'ARPAJON;2a;PUBLIC;910000272;910110014;91021;ARPAJON;91294;18 AV DE VERDUN;27;3;1278
2018;CH D ARPAJON;2a;PUBLIC;910000272;910110014;91021;ARPAJON;91294;18 AV DE VERDUN;27;3;1486
2013;CENTRE HOSPITALIER D'ORSAY;2b;PUBLIC;910000306;910110063;91471;ORSAY;91401;4 PL DU GENERAL LECLERC;25;3;1357
2020;CH DOURDAN ETAMPES SITE ETAMPES;2a;PUBLIC;910001973;910019447;91223;ETAMPES;91152;26 AV CHARLES DE GAULLE;20;3;1152
2022;CH DOURDAN ETAMPES SITE ETAMPES;2a;PUBLIC;910001973;910019447;91223;ETAMPES;91152;26 AV CHARLES DE GAULLE;24;3;1122
2019;CH SUD FRANCILIEN SITE JEAN JAURES;3;PUBLIC;910020254;910002773;91174;CORBEIL-ESSONNES;91106;40 AV SERGE DASSAULT;84;10;5249
2014;CMCO D' EVRY;1;PRIVE LUCRATIF;910300144;910000447;91228;EVRY;91035;4 AV DE MOUSSEAU;20;3;793
2017;CLINIQUE DE L YVETTE;1;PRIVE LUCRATIF;910300177;910000462;91345;LONGJUMEAU;91160;67 RTE DE CORBEIL;28;0;841
2018;CH DE NANTERRE;1;PUBLIC;920000577;920110020;92050;NANTERRE;92014;403 AV DE LA REPUBLIQUE;24;4;1356
2016;HOPITAL FOCH;2b;PRIVE NON LUCRATIF;920000650;920150059;92073;SURESNES;92151;40 R WORTH;45;9;3242
2015;HOPITAL LOUIS MOURIER (AP-HP);3;PUBLIC;920100047;750712184;92025;COLOMBES;92701;178 R DES RENOUILLIERS;58;7;3300
2013;CLINIQUE LAMBERT;1;PRIVE LUCRATIF;920300415;920000890;92035;LA GARENNE-COLOMBES;92250;67 AV FOCH;24;4;739
2014;CLINIQUE LAMBERT;1;PRIVE LUCRATIF;920300415;920000890;92035;LA GARENNE-COLOMBES;92250;67 AV FOCH;24;4;717
2021;HOPITAL AMERICAIN;1;PRIVE NON LUCRATIF;920300787;920000981;92051;NEUILLY SUR SEINE;92202;63 BD VICTOR HUGO;15;4;648
2023;HOPITAL AMERICAIN;1;PRIVE NON LUCRATIF;920300787;920000981;92051;NEUILLY SUR SEINE;92202;63 BD VICTOR HUGO;15;5;731
2013;CLINIQUE LES MARTINETS;1;PRIVE LUCRATIF;920300837;920001005;92063;RUEIL-MALMAISON;92500;97 AV ALBERT PREMIER;18;2;627
2023;CHI ANDRE GREGOIRE;3;PUBLIC;930000302;930110036;93048;MONTREUIL;93100;56 BD DE LA BOISSIERE;58;7;2942
2020;CH GENERAL DELAFONTAINE;3;PUBLIC;930000328;930110051;93066;SAINT DENIS;93205;2 R DU DR DELAFONTAINE;85;7;4223
2014;HOPITAL JEAN VERDIER (AP-HP);2b;PUBLIC;930100045;750712184;93010;BONDY;93143;AV DU 14 JUILLET;53;1;2481
2020;HOPITAL EUROPEEN LA ROSERAIE;2a;PRIVE LUCRATIF;930300025;930000393;93001;AUBERVILLIERS;93308;120 AV DE LA REPUBLIQUE;24;3;563
2017;POLYCLINIQUE VAUBAN SANTE;1;PRIVE LUCRATIF;930300298;930025523;93046;LIVRY-GARGAN;93190;135 AV VAUBAN;30;4;1241
2019;POLYCLINIQUE VAUBAN SANTE;1;PRIVE LUCRATIF;930300298;930025523;93046;LIVRY-GARGAN;93190;135 AV VAUBAN;30;4;1020
2017;CLINIQUE DE L ESTREE;2a;PRIVE LUCRATIF;930300553;930000633;93072;STAINS;93240;35 RUE D'AMIENS;31;5;1699
2015;CHI DE CRETEIL;3;PUBLIC;940000573;940110018;94028;CRETEIL;94010;40 AV DE VERDUN;72;7;3508
2020;CHI DE CRETEIL;3;PUBLIC;940000573;940110018;94028;CRETEIL;94010;40 AV DE VERDUN;68;9;3122
2021;CHI LUCIE ET RAYMOND AUBRAC;2b;PUBLIC;940000599;940110042;94078;VILLENEUVE SAINT GEORGES;94195;40 ALL DE LA SOURCE;54;7;3340
2015;LES HOPITAUX DE SAINT-MAURICE;2a;PUBLIC;940016868;940016819;94069;SAINT-MAURICE;94410;12 R DU VAL D'OSNE;45;5;3067
2018;HU PARIS SUD SITE KREMLIN BICETRE APHP;3;PUBLIC;940100043;750712184;94043;LE KREMLIN-BICETRE;94275;78 AV DU GENERAL LECLERC;59;9;3196
2013;HIA BEGIN;1;PUBLIC;940120017;750810814;94067;SAINT-MANDE;94163;69 AV DE PARIS;18;3;1040
2020;HOPITAL PRIVE ARMAND BRILLARD;2a;PRIVE LUCRATIF;940300270;940000771;94052;NOGENT SUR MARNE;94130;3 AV WATTEAU;34;6;1917
2015;CLINIQUE GASTON METIVET;1;PRIVE LUCRATIF;940300379;940000805;94068;SAINT-MAUR-DES-FOSSES;94100;48 R ALSACE LORRAINE;19;2;1014
2020;HOPITAL PRIVE DE VITRY SITE NORIETS;2a;PRIVE LUCRATIF;940300551;940000912;94081;VITRY SUR SEINE;94408;12 R DES NORIETS;28;5;1171
2017;GH CARNELLE PORTES OISE SITE FRITSCHI;2a;PUBLIC;950000315;950001370;95052;BEAUMONT-SUR-OISE;95260;25 R EDMOND TURCQ;22;5;1043
2019;GHEM SIMONE VEIL SITE EAUBONNE;2b;PUBLIC;950000323;950013870;95203;EAUBONNE;95602;14 R DE SAINT PRIX;36;7;3255
2013;CLINIQUE CONTI;1;PRIVE LUCRATIF;950300202;950000521;95313;L'ISLE-ADAM;95290;3 CHE DES TROIS SOURCES;20;3;881
2022;CLINIQUE CONTI;1;PRIVE LUCRATIF;950300202;950000521;95313;ISLE ADAM;95290;3 CHE DES TROIS SOURCES;20;4;863
2023;CLINIQUE CONTI;1;PRIVE LUCRATIF;950300202;950000521;95313;L'ISLE ADAM;95290;3 CHE DES TROIS SOURCES;19;4;693
2013;CLINIQUE CLAUDE BERNARD SAS;2a;PRIVE LUCRATIF;950807982;950001636;95219;ERMONT;95124;9 AV LOUIS ARMAND;41;6;1984
2018;CLINIQUE CLAUDE BERNARD;2a;PRIVE LUCRATIF;950807982;950001636;95219;ERMONT;95124;9 AV LOUIS ARMAND;36;6;2033
2013;C. H. Louis Constant Fleming;2b;PUBLIC;970100400;970100186;9A127;SAINT-MARTIN;97150;SPRING - CONCORDIA;17;3;823
2014;C. H. Louis Constant Fleming;2b;PUBLIC;970100400;970100186;9A127;SAINT-MARTIN;97150;SPRING - CONCORDIA;17;3;759
2023;C.H. LOUIS CONSTANT FLEMING;2b;PUBLIC;970100400;970100186;9A127;ST MARTIN;97150;SPRING CONCORDIA;17;2;532
2014;C.H.U. DE POINTE-A-PITRE/ABYMES;3;PUBLIC;970100442;970100228;9A101;LES ABYMES;97139;ROUTE DE CHAUVEL;58;3;1967
2023;C.H.U. DE POINTE-A-PITRE/ABYMES;3;PUBLIC;970100442;970100228;9A101;LES ABYMES;97139;;32;4;2315
2021;CLINIQUE -LES EAUX CLAIRES-;1;PRIVE LUCRATIF;970107249;970100731;9A103;BAIE MAHAULT;97122;;26;3;1119
2021;CLINIQUE SAINT PAUL;1;PRIVE LUCRATIF;970202313;970200168;9B209;FORT DE FRANCE;97200;4 R DES HIBISCUS;16;3;887
2016;CLINIQUE SAINTE MARIE;1;PRIVE LUCRATIF;970202321;970210423;9B229;SCHOELCHER;97233;RTE DE CLUNY;24;3;434
2014;CHU DE MARTINIQUE SITE DE TRINITE;2a;PUBLIC;970211223;970211207;9B230;LA TRINITE;97261;;20;3;590
2018;CHU DE MARTINIQUE SITE MERE ENFANT;3;PUBLIC;970211256;970211207;9B209;FORT-DE-FRANCE;97261;R DU COUP DE MAIN;44;5;2244
2019;CHU DE MARTINIQUE SITE MERE ENFANT;3;PUBLIC;970211256;970211207;9B209;FORT-DE-FRANCE;97261;R DU COUP DE MAIN;44;5;2372
2023;CENTRE HOSPITALIER  FRANCK-JOLY;2b;PUBLIC;970300083;970302121;9C311;SAINT LAURENT DU MARONI;97320;1465 BD DE LA LIBERTE;57;6;3284
2013;CLINIQUE -VERONIQUE-;1;PRIVE LUCRATIF;970302055;970303285;9C302;CAYENNE;97300;1453 RTE DE BADUEL;30;2;581
2014;CLINIQUE -VERONIQUE-;1;PRIVE LUCRATIF;970302055;970303285;9C302;CAYENNE;97300;1453 RTE DE BADUEL;30;2;406
2019;CENTRE HOSPITALIER INTERCOM DE KOUROU;2a;PUBLIC;970305637;970305629;9C304;KOUROU;97387;AV LEOPOLD HEDER;18;3;810
2017;CHU SITE FELIX GUYON (SAINT DENIS);3;PUBLIC;970400024;970408589;9D411;SAINT-DENIS;97400;ALL DES TOPAZES;49;5;2321
2019;CHU SITE FELIX GUYON (SAINT DENIS);3;PUBLIC;970400024;970408589;9D411;SAINT-DENIS;97405;ALL DES TOPAZES;49;5;2291
2020;CH OUEST REUNION;2b;PUBLIC;970400065;970421038;9D415;SAINT PAUL;97460;IMPASSE PLAINE CHABRIER;38;4;1844
2020;CLINIQUE DURIEUX;1;PRIVE LUCRATIF;970462073;970400271;9D422;TAMPON;97430;100 R DE FRANCE;19;3;1081
2015;CLINIQUE DE SAINTE-CLOTILDE;2a;PRIVE LUCRATIF;970462107;970400305;9D411;SAINT-DENIS;97492;127 RTE DU BOIS DE NEFLES;40;5;1971
2021;CLINIQUE STE-CLOTILDE;2a;PRIVE LUCRATIF;970462107;970400305;9D411;SAINT DENIS;97492;127 RTE DU BOIS DE NEFLES;30;5;1756
2014;CH FLEYRIAT;2b;PUBLIC;010000024;010780054;01053;BOURG-EN-BRESSE;01012;900 RTE DE PARIS;43;5;2203
2017;CH FLEYRIAT;2b;PUBLIC;010000024;010780054;01053;BOURG-EN-BRESSE;01012;900 RTE DE PARIS;31;5;1948
2015;CH DOCTEUR RECAMIER BELLEY;1;PUBLIC;010000032;010780062;01034;BELLEY;01300;52 R Georges Girerd;10;2;459
2017;CH DOCTEUR RECAMIER BELLEY;1;PUBLIC;010000032;010780062;01034;BELLEY;01300;52 Rue GEORGES GIRERD;10;2;380
2020;CH DE BELLEY;1;PUBLIC;010000032;010780062;01034;BELLEY;01300;700 Avenu NARVIK;10;2;344
2016;HOPITAL PRIVE D'AMBERIEU;1;PRIVE LUCRATIF;010780203;010010718;01004;AMBERIEU-EN-BUGEY;01506;EN PRAGNAT NORD;15;3;806
2022;HOPITAL PRIVE D'AMBERIEU;1;PRIVE LUCRATIF;010780203;010010718;01004;AMBERIEU EN BUGEY;01506;EN PRAGNAT NORD;15;4;723
2023;CH CHAUNY;1;PUBLIC;020000535;020000287;02173;CHAUNY;02303;94 SQ DES ANCIENS COMBATTANTS;16;3;492
2019;HOPITAL PRIVE SAINT CLAUDE;1;PRIVE LUCRATIF;020010047;020001632;02691;SAINT-QUENTIN;02315;1 BD DU DOCTEUR SCHWEITZER;17;4;564
2019;CENTRE HOSPITALIER DE MONTLUCON;2b;PUBLIC;030000079;030780100;03185;MONTLUCON;03109;18 AV DU 8 MAI 1945;24;3;971
2017;CH JACQUES LACARIN VICHY;2a;PUBLIC;030000087;030780118;03310;VICHY;03201;BD DENIERE;18;0;1053
2017;CENTRE HOSPITALIER DE MANOSQUE;1;PUBLIC;040000093;040780215;04112;MANOSQUE;04101;R AUGUSTE GIRARD;18;2;749
2023;CENTRE HOSPITALIER DE DIGNE LES BAINS;1;PUBLIC;040000911;040788879;04070;DIGNE LES BAINS;04003;QUA SAINT CHRISTOPHE;11;2;310
2013;CENTRE HOSPITALIER DE GRASSE;2b;PUBLIC;060000478;060780897;06069;GRASSE;06135;CHE DE CLAVARY;32;5;1634
2016;CH D'ANTIBES JUAN LES PINS;2a;PUBLIC;060000510;060780954;06004;ANTIBES;06600;107 AV DE NICE RN7 QUA FONTONNE;16;3;1026
2018;CH D'ANTIBES JUAN LES PINS;2a;PUBLIC;060000510;060780954;06004;ANTIBES;06606;107 AV DE NICE;16;3;956
2019;CH DE CANNES SIMONE VEIL;2a;PUBLIC;060000544;060780988;06029;CANNES;06414;15 AV DES BROUSSAILLES;24;4;1493
2020;CH DE CANNES SIMONE VEIL;2a;PUBLIC;060000544;060780988;06029;CANNES;06414;15 AV DES BROUSSAILLES;24;4;1404
2022;CH DE CANNES SIMONE VEIL;2a;PUBLIC;060000544;060780988;06029;CANNES;06414;15 AV DES BROUSSAILLES;24;4;1373
2021;POLYCLINIQUE SAINT JEAN;1;PRIVE LUCRATIF;060780517;060000239;06027;CAGNES SUR MER;06800;92 AV DU DOCTEUR MAURICE DONAT;21;5;782
2020;POLYCLINIQUE SANTA MARIA;2a;PRIVE LUCRATIF;060780756;060000403;06088;NICE;06200;57 AV DE LA CALIFORNIE;52;5;1996
2023;POLYCLINIQUE SANTA MARIA;2a;PRIVE LUCRATIF;060780756;060000403;06088;NICE;06200;57 AV DE LA CALIFORNIE;57;8;2773
2020;CHU DE NICE HOPITAL DE L'ARCHET;3;PUBLIC;060789195;060785011;06088;NICE;06200;151 RTE SAINT ANTOINE DE GINESTIERE;59;9;3095
2017;CH D'ARDÈCHE NORD;2a;PUBLIC;070000179;070780358;07010;ANNONAY;07103;R DU BON PASTEUR;19;3;690
2015;CH D'AUBENAS;2a;PUBLIC;070000609;070005566;07019;AUBENAS;07205;14 AV DE BELLANDE;17;3;762
2013;HPDA CLINIQUE PASTEUR;1;PRIVE LUCRATIF;070780424;070000245;07102;GUILHERAND-GRANGES;07500;294 BD GENERAL DE GAULLE;26;4;1322
2022;CLINIQUE PASTEUR;1;PRIVE LUCRATIF;070780424;070000245;07102;GUILHERAND GRANGES;07500;294 BD GENERAL DE GAULLE;27;4;187
2018;CENTRE HOSPITALIER DE SEDAN;2a;PUBLIC;080000110;080000037;08409;SEDAN;08209;2 AV GENERAL MARGUERITTE;16;2;582
2021;CENTRE HOSPITALIER DE SEDAN;2a;PUBLIC;080000110;080011174;08409;SEDAN;08209;2 AV GENERAL MARGUERITTE;15;3;555
2015;HOPITAL MANCHESTER - CH CHARLEVILLE;2b;PUBLIC;080000425;080000615;08105;CHARLEVILLE-MEZIERES;08011;45 AV DE MANCHESTER;26;6;1568
2020;CH CHARLEVILLE - HOPITAL MANCHESTER;2b;PUBLIC;080000425;080011174;08105;CHARLEVILLE MEZIERES;08011;45 AV DE MANCHESTER;26;6;1369
2022;CH CHARLEVILLE - HOPITAL MANCHESTER;2b;PUBLIC;080000425;080011174;08105;CHARLEVILLE MEZIERES;08011;45 AV DE MANCHESTER;26;6;1395
2015;CH INTERCOMMUNAL DU VAL D'ARIEGE;2a;PUBLIC;090000175;090781774;09122;FOIX;09017;CHE DE BARRAU;25;2;1051
2017;CHIVA SITE FOIX;2a;PUBLIC;090000175;090781774;09122;FOIX;09000;CHE DE BARRAU;23;2;974
2018;CHIVA SITE FOIX;2a;PUBLIC;090000175;090781774;09122;FOIX;09000;CHE DU BARRAU;23;2;973
2019;CHIVAL SITE FOIX;2a;PUBLIC;090000175;090781774;09122;FOIX;09000;CHE DU BARRAU;23;2;994
2013;CENTRE HOSPITALIER  ARIEGE COUSERANS;1;PUBLIC;090000183;090781816;09261;SAINT-GIRONS;09201;;4;0;219
2014;CENTRE HOSPITALIER  ARIEGE COUSERANS;1;PUBLIC;090000183;090781816;09268;SAINT-LIZIER;09201;;4;2;217
2016;CENTRE HOSPITALIER ARIEGE COUSERANS;1;PUBLIC;090000183;090781816;09268;SAINT-LIZIER;09190;;4;2;215
2014;GHAM - SITE DE ROMILLY-SUR-SEINE;1;PUBLIC;100000199;100006279;10323;ROMILLY-SUR-SEINE;10105;AV PAUL V. COUTURIER;18;3;537
2023;CENTRE HOSPITALIER DE ROMILLY/SEINE;1;PUBLIC;100000199;100006279;10323;ROMILLY SUR SEINE;10105;AV PAUL V COUTURIER;15;2;343
2018;CH NARBONNE HOTEL DIEU;1;PUBLIC;110000056;110780137;11262;NARBONNE;11108;BD DOCTEUR LACROIX;15;4;808
2016;C.H. DE RODEZ -HOPITAL JACQUES PUEL-;2b;PUBLIC;120000039;120780044;12202;RODEZ;12027;AV DE L'HOPITAL;19;3;1292
2023;CH DE RODEZ HOPITAL JACQUES PUEL;2b;PUBLIC;120000039;120780044;12202;RODEZ;12027;AV DE L'HOPITAL;29;3;1173
2015;CH VILLEFRANCHE DE ROUERGUE;1;PUBLIC;120000054;120780069;12300;VILLEFRANCHE-DE-ROUERGUE;12200;2 AV CAYLET;12;3;486
2020;CH VILLEFRANCHE SITE CHARTREUSE;1;PUBLIC;120000054;120780069;12300;VILLEFRANCHE DE ROUERGUE;12200;AV CAYLET;12;3;473
2016;CH PIERRE DELPECH DECAZEVILLE;1;PUBLIC;120000070;120780085;12089;DECAZEVILLE;12300;60 AV PROSPER-ALFARIC;15;2;185
2016;CENTRE HOSPITALIER DE MILLAU;1;PUBLIC;120004569;120004528;12145;MILLAU;12101;265 BD ACHILLE SOUQUES;12;2;266
2021;CH MILLAU;1;PUBLIC;120004569;120004528;12145;MILLAU;12101;265 BD ACHILLE SOUQUES;12;2;344
2022;CH MILLAU;1;PUBLIC;120004569;120004528;12145;MILLAU;12101;265 BD ACHILLE SOUQUES;12;2;284
2015;CENTRE HOSPITALIER DE SAINT AFFRIQUE;1;PUBLIC;120004668;120004619;12208;SAINT-AFFRIQUE;12402;88 AV DR LUCIEN GALTIER;6;2;201
2021;CHI SITE D'AIX EN PROVENCE;2b;PUBLIC;130000409;130041916;13001;AIX EN PROVENCE;13616;AV DES TAMARIS;26;6;1543
2014;CH EDMOND GARCIN D'AUBAGNE;1;PUBLIC;130000565;130781446;13005;AUBAGNE;13400;179 AV DES SOEURS GASTINE;16;3;840
2021;CENTRE HOSPITALIER GENERAL D'AUBAGNE;1;PUBLIC;130000565;130781446;13005;AUBAGNE;13400;179 AV DES SOEURS GASTINE;19;3;1125
2013;CH SALON DE PROVENCE;2a;PUBLIC;130001225;130782634;13103;SALON-DE-PROVENCE;13658;207 AV JULIEN FABRE;20;3;1315
2018;CH SALON DE PROVENCE;2a;PUBLIC;130001225;130782634;13103;SALON-DE-PROVENCE;13658;207 AV JULIEN FABRE;22;3;1166
2023;HOPITAL DU PAYS SALONAIS;2a;PUBLIC;130001225;130782634;13103;SALON DE PROVENCE;13658;207 AV JULIEN FABRE;22;3;1141
2013;CH DE MARTIGUES HOPITAL DES RAYETTES;2b;PUBLIC;130002835;130789316;13056;MARTIGUES;13698;3 BD DES RAYETTES;41;4;2040
2015;CLINIQUE DE VITROLLES;1;PRIVE LUCRATIF;130008253;130001084;13117;VITROLLES;13741;Rue BEL AIR LA TUILIERE II;32;5;1335
2022;CLINIQUE DE VITROLLES;1;PRIVE LUCRATIF;130008253;130001084;13117;VITROLLES;13741;R BEL AIR LA TUILIERE II;45;5;930
2020;APHM HOPITAL NORD;3;PUBLIC;130780521;130786049;13055;MARSEILLE 15E ARRONDISSEMENT;13015;CHE DES BOURRELY;50;5;2351
2015;HOPITAL PRIVE LA CASAMANCE;1;PRIVE LUCRATIF;130781479;130000599;13005;AUBAGNE;13675;33 BD DES FARIGOULES;15;3;417
2015;CLINIQUE BOUCHARD;2a;PRIVE LUCRATIF;130783327;130001415;13055;MARSEILLE 06EME;13006;77 R DU DOCTEUR ESCAT;39;5;1973
2016;CLINIQUE BOUCHARD;2a;PRIVE LUCRATIF;130783327;130001415;13055;MARSEILLE 06EME;13006;77 R DU DOCTEUR ESCAT;38;5;1830
2021;CLINIQUE BOUCHARD;2a;PRIVE LUCRATIF;130783327;130001415;13055;MARSEILLE 6E ARRONDISSEMENT;13006;77 R DU DOCTEUR ESCAT;38;5;1859
2023;HP MARSEILLE BEAUREGARD VERT COTEAU;2a;PRIVE LUCRATIF;130784713;130038847;13055;MARSEILLE 12E ARRONDISSEMENT;13012;12 IMP DU LIDO;55;8;2037
2014;HOPITAL ST JOSEPH;2b;PRIVE NON LUCRATIF;130785652;130014228;13055;MARSEILLE 08EME;13008;26 BD DE LOUVAIN;85;10;4507
2022;HOPITAL SAINT JOSEPH;2b;PRIVE NON LUCRATIF;130785652;130014228;13055;MARSEILLE 8E ARRONDISSEMENT;13008;26 BD DE LOUVAIN;72;10;4432
2019;CENTRE HOSPITALIER DE LISIEUX;2b;PUBLIC;140000027;140000035;14366;LISIEUX;14107;4 R ROGER AINI;32;4;1453
2022;CENTRE HOSPITALIER DE LISIEUX;2b;PUBLIC;140000027;140000035;14366;LISIEUX;14107;4 R ROGER AINI;32;4;1313
2015;CHU COTE DE NACRE - CAEN;3;PUBLIC;140000209;140000100;14118;CAEN;14033;AV COTE DE NACRE;70;7;3046
2016;CHU COTE DE NACRE - CAEN;3;PUBLIC;140000209;140000100;14118;CAEN;14033;AV COTE DE NACRE;70;7;3159
2020;CHU COTE DE NACRE - CAEN;3;PUBLIC;140000209;140000100;14118;CAEN;14033;AV COTE DE NACRE;72;7;3051
2014;CENTRE HOSPITALIER DE FALAISE;1;PUBLIC;140000233;140000118;14258;FALAISE;14700;BD DES BERCAGNES;19;2;394
2013;CENTRE HOSPITALIER - BAYEUX;1;PUBLIC;140024886;140000092;14047;BAYEUX;14400;13 R DE NESMOND;17;3;622
2017;CENTRE HOSPITALIER - BAYEUX;1;PUBLIC;140024886;140000092;14047;BAYEUX;14401;13 RUE DE NESMOND;16;3;503
2022;CENTRE HOSPITALIER - AUNAY-BAYEUX;1;PUBLIC;140024886;140000092;14047;BAYEUX;14400;13 RUE DE NESMOND;16;3;448
2017;CENTRE HOSPITALIER DE SAINT FLOUR;1;PUBLIC;150000032;150780088;15187;SAINT-FLOUR;15102;AV DOCTEUR MALLET;15;2;293
2019;CENTRE HOSPITALIER HENRI MONDOR;2a;PUBLIC;150000040;150780096;15014;AURILLAC;15002;50 AV DE LA REPUBLIQUE;22;2;766
2016;CENTRE HOSPITALIER D'ANGOULEME;2b;PUBLIC;160000253;160000451;16015;ANGOULEME;16959;RPT DE GIRAC;30;5;1546
2019;CENTRE CLINICAL SA;1;PRIVE LUCRATIF;160013207;160001632;16374;SOYAUX;16800;2 CHE DE FREGENEUIL;24;6;981
2016;CH BOURGES - JACQUES COEUR;2b;PUBLIC;180000010;180000028;18033;BOURGES;18020;145 AV F MITTERAND;31;4;1317
2017;CH DE VIERZON;1;PUBLIC;180000200;180000051;18279;VIERZON;18102;33 R LEO MERIGOT;15;3;462
2018;CH SAINT AMAND-MONTROND;1;PUBLIC;180000283;180000069;18197;SAINT-AMAND-MONTROND;18206;44 AV JEAN JAURES;15;2;325
2019;CH SAINT AMAND-MONTROND;1;PUBLIC;180000283;180000069;18197;SAINT-AMAND-MONTROND;18200;44 AV JEAN JAURES;15;2;297
2023;CH SAINT AMAND-MONTROND;1;PUBLIC;180000283;180000069;18197;SAINT AMAND MONTROND;18200;44 AV JEAN JAURES;15;2;260
2018;HOPITAL PRIVE GUILLAUME DE VARYE;1;PRIVE LUCRATIF;180004145;180000887;18205;SAINT-DOULCHARD;18230;210 RTE DE VOUZERON;11;3;539
2018;CENTRE HOSPITALIER DUBOIS BRIVE;2a;PUBLIC;190000018;190000042;19031;BRIVE-LA-GAILLARDE;19312;3 BD DOCTEUR VERLHAC;28;5;1365
2016;CENTRE HOSPITALIER COEUR DE CORREZE;2a;PUBLIC;190000026;190000059;19272;TULLE;19012;3 PL DOCTEUR MASCHAT;15;4;594
2017;CENTRE HOSPITALIER COEUR DE CORREZE;2a;PUBLIC;190000026;190000059;19272;TULLE;19012;3 PL DOCTEUR MASCHAT;15;4;607
